105.657,21.239,"[105.657,21.239],"
105.66,21.239,"[105.66,21.239],"
105.667,21.244,"[105.667,21.244],"
105.67,21.243,"[105.67,21.243],"
105.671,21.24,"[105.671,21.24],"
105.677,21.24,"[105.677,21.24],"
105.678,21.237,"[105.678,21.237],"
105.68,21.239,"[105.68,21.239],"
105.689,21.239,"[105.689,21.239],"
105.693,21.235,"[105.693,21.235],"
105.693,21.232,"[105.693,21.232],"
105.69,21.229,"[105.69,21.229],"
105.69,21.227,"[105.69,21.227],"
105.691,21.225,"[105.691,21.225],"
105.695,21.225,"[105.695,21.225],"
105.696,21.223,"[105.696,21.223],"
105.701,21.225,"[105.701,21.225],"
105.707,21.224,"[105.707,21.224],"
105.713,21.228,"[105.713,21.228],"
105.717,21.228,"[105.717,21.228],"
105.72,21.232,"[105.72,21.232],"
105.725,21.231,"[105.725,21.231],"
105.728,21.234,"[105.728,21.234],"
105.721,21.241,"[105.721,21.241],"
105.721,21.244,"[105.721,21.244],"
105.724,21.247,"[105.724,21.247],"
105.722,21.247,"[105.722,21.247],"
105.719,21.25,"[105.719,21.25],"
105.721,21.258,"[105.721,21.258],"
105.719,21.267,"[105.719,21.267],"
105.722,21.27,"[105.722,21.27],"
105.721,21.274,"[105.721,21.274],"
105.726,21.279,"[105.726,21.279],"
105.73,21.28,"[105.73,21.28],"
105.731,21.286,"[105.731,21.286],"
105.734,21.291,"[105.734,21.291],"
105.736,21.291,"[105.736,21.291],"
105.743,21.298,"[105.743,21.298],"
105.751,21.3,"[105.751,21.3],"
105.754,21.303,"[105.754,21.303],"
105.759,21.316,"[105.759,21.316],"
105.761,21.319,"[105.761,21.319],"
105.765,21.321,"[105.765,21.321],"
105.769,21.327,"[105.769,21.327],"
105.769,21.331,"[105.769,21.331],"
105.772,21.338,"[105.772,21.338],"
105.779,21.345,"[105.779,21.345],"
105.786,21.348,"[105.786,21.348],"
105.783,21.351,"[105.783,21.351],"
105.781,21.357,"[105.781,21.357],"
105.784,21.377,"[105.784,21.377],"
105.794,21.386,"[105.794,21.386],"
105.796,21.386,"[105.796,21.386],"
105.799,21.389,"[105.799,21.389],"
105.804,21.389,"[105.804,21.389],"
105.81,21.386,"[105.81,21.386],"
105.818,21.387,"[105.818,21.387],"
105.822,21.383,"[105.822,21.383],"
105.833,21.378,"[105.833,21.378],"
105.836,21.381,"[105.836,21.381],"
105.847,21.382,"[105.847,21.382],"
105.851,21.379,"[105.851,21.379],"
105.856,21.381,"[105.856,21.381],"
105.861,21.379,"[105.861,21.379],"
105.863,21.376,"[105.863,21.376],"
105.862,21.37,"[105.862,21.37],"
105.864,21.368,"[105.864,21.368],"
105.862,21.363,"[105.862,21.363],"
105.857,21.362,"[105.857,21.362],"
105.857,21.356,"[105.857,21.356],"
105.859,21.354,"[105.859,21.354],"
105.858,21.351,"[105.858,21.351],"
105.863,21.347,"[105.863,21.347],"
105.862,21.342,"[105.862,21.342],"
105.865,21.342,"[105.865,21.342],"
105.869,21.335,"[105.869,21.335],"
105.875,21.332,"[105.875,21.332],"
105.901,21.33,"[105.901,21.33],"
105.904,21.325,"[105.904,21.325],"
105.903,21.313,"[105.903,21.313],"
105.901,21.309,"[105.901,21.309],"
105.906,21.306,"[105.906,21.306],"
105.91,21.306,"[105.91,21.306],"
105.913,21.309,"[105.913,21.309],"
105.918,21.31,"[105.918,21.31],"
105.922,21.306,"[105.922,21.306],"
105.92,21.298,"[105.92,21.298],"
105.932,21.299,"[105.932,21.299],"
105.936,21.295,"[105.936,21.295],"
105.935,21.29,"[105.935,21.29],"
105.927,21.285,"[105.927,21.285],"
105.927,21.271,"[105.927,21.271],"
105.931,21.267,"[105.931,21.267],"
105.939,21.253,"[105.939,21.253],"
105.941,21.252,"[105.941,21.252],"
105.943,21.248,"[105.943,21.248],"
105.943,21.243,"[105.943,21.243],"
105.939,21.239,"[105.939,21.239],"
105.931,21.237,"[105.931,21.237],"
105.921,21.227,"[105.921,21.227],"
105.913,21.228,"[105.913,21.228],"
105.919,21.22,"[105.919,21.22],"
105.92,21.207,"[105.92,21.207],"
105.918,21.205,"[105.918,21.205],"
105.917,21.2,"[105.917,21.2],"
105.914,21.199,"[105.914,21.199],"
105.912,21.196,"[105.912,21.196],"
105.916,21.195,"[105.916,21.195],"
105.92,21.191,"[105.92,21.191],"
105.92,21.189,"[105.92,21.189],"
105.928,21.184,"[105.928,21.184],"
105.925,21.171,"[105.925,21.171],"
105.921,21.17,"[105.921,21.17],"
105.921,21.168,"[105.921,21.168],"
105.926,21.166,"[105.926,21.166],"
105.927,21.16,"[105.927,21.16],"
105.924,21.156,"[105.924,21.156],"
105.926,21.151,"[105.926,21.151],"
105.93,21.148,"[105.93,21.148],"
105.931,21.14,"[105.931,21.14],"
105.929,21.132,"[105.929,21.132],"
105.926,21.129,"[105.926,21.129],"
105.923,21.129,"[105.923,21.129],"
105.921,21.125,"[105.921,21.125],"
105.923,21.126,"[105.923,21.126],"
105.927,21.124,"[105.927,21.124],"
105.927,21.118,"[105.927,21.118],"
105.935,21.113,"[105.935,21.113],"
105.94,21.103,"[105.94,21.103],"
105.941,21.094,"[105.941,21.094],"
105.945,21.089,"[105.945,21.089],"
105.956,21.095,"[105.956,21.095],"
105.96,21.095,"[105.96,21.095],"
105.964,21.089,"[105.964,21.089],"
105.965,21.081,"[105.965,21.081],"
105.973,21.075,"[105.973,21.075],"
105.992,21.073,"[105.992,21.073],"
105.997,21.078,"[105.997,21.078],"
105.998,20.995,"[105.998,20.995],"
105.995,20.997,"[105.995,20.997],"
105.987,20.992,"[105.987,20.992],"
105.976,20.994,"[105.976,20.994],"
105.976,20.987,"[105.976,20.987],"
105.969,20.985,"[105.969,20.985],"
105.969,20.982,"[105.969,20.982],"
105.966,20.978,"[105.966,20.978],"
105.969,20.974,"[105.969,20.974],"
105.968,20.97,"[105.968,20.97],"
105.969,20.962,"[105.969,20.962],"
105.966,20.959,"[105.966,20.959],"
105.954,20.962,"[105.954,20.962],"
105.952,20.964,"[105.952,20.964],"
105.937,20.964,"[105.937,20.964],"
105.931,20.969,"[105.931,20.969],"
105.927,20.969,"[105.927,20.969],"
105.924,20.971,"[105.924,20.971],"
105.919,20.971,"[105.919,20.971],"
105.916,20.969,"[105.916,20.969],"
105.909,20.955,"[105.909,20.955],"
105.908,20.948,"[105.908,20.948],"
105.919,20.939,"[105.919,20.939],"
105.919,20.935,"[105.919,20.935],"
105.914,20.928,"[105.914,20.928],"
105.917,20.923,"[105.917,20.923],"
105.917,20.916,"[105.917,20.916],"
105.907,20.905,"[105.907,20.905],"
105.901,20.902,"[105.901,20.902],"
105.899,20.898,"[105.899,20.898],"
105.902,20.894,"[105.902,20.894],"
105.917,20.888,"[105.917,20.888],"
105.926,20.88,"[105.926,20.88],"
105.933,20.878,"[105.933,20.878],"
105.939,20.869,"[105.939,20.869],"
105.94,20.856,"[105.94,20.856],"
105.937,20.849,"[105.937,20.849],"
105.923,20.842,"[105.923,20.842],"
105.919,20.839,"[105.919,20.839],"
105.916,20.834,"[105.916,20.834],"
105.916,20.816,"[105.916,20.816],"
105.923,20.799,"[105.923,20.799],"
105.93,20.79,"[105.93,20.79],"
105.959,20.784,"[105.959,20.784],"
105.966,20.781,"[105.966,20.781],"
105.969,20.778,"[105.969,20.778],"
105.973,20.768,"[105.973,20.768],"
105.971,20.749,"[105.971,20.749],"
105.974,20.734,"[105.974,20.734],"
105.968,20.725,"[105.968,20.725],"
105.976,20.706,"[105.976,20.706],"
105.976,20.703,"[105.976,20.703],"
105.982,20.704,"[105.982,20.704],"
105.988,20.708,"[105.988,20.708],"
105.997,20.688,"[105.997,20.688],"
105.994,20.672,"[105.994,20.672],"
105.987,20.677,"[105.987,20.677],"
105.983,20.673,"[105.983,20.673],"
105.982,20.665,"[105.982,20.665],"
105.98,20.662,"[105.98,20.662],"
105.965,20.66,"[105.965,20.66],"
105.961,20.656,"[105.961,20.656],"
105.962,20.648,"[105.962,20.648],"
105.959,20.646,"[105.959,20.646],"
105.945,20.65,"[105.945,20.65],"
105.941,20.653,"[105.941,20.653],"
105.939,20.658,"[105.939,20.658],"
105.939,20.665,"[105.939,20.665],"
105.943,20.669,"[105.943,20.669],"
105.942,20.677,"[105.942,20.677],"
105.932,20.676,"[105.932,20.676],"
105.924,20.673,"[105.924,20.673],"
105.91,20.666,"[105.91,20.666],"
105.907,20.661,"[105.907,20.661],"
105.9,20.662,"[105.9,20.662],"
105.9,20.65,"[105.9,20.65],"
105.895,20.645,"[105.895,20.645],"
105.881,20.639,"[105.881,20.639],"
105.854,20.642,"[105.854,20.642],"
105.848,20.647,"[105.848,20.647],"
105.847,20.65,"[105.847,20.65],"
105.838,20.656,"[105.838,20.656],"
105.826,20.66,"[105.826,20.66],"
105.829,20.656,"[105.829,20.656],"
